"State","Gender","Age.Cohort","Fit.Bound","LE"
"Arizona","Male","45-54 years","lwr","33.3487632396032"
"Arizona","Male","55-64 years","lwr","25.3566385494949"
"Arizona","Male","65-74 years","lwr","18.5623281793478"
"Arizona","Male","75-84 years","lwr","12.2638786638418"
"Arizona","Male","85+ years","lwr","7.52974066143231"
"Arizona","Male","< 1 year","upr","74.9601422584079"
"Arizona","Male","1-4 years","upr","74.3364512738761"
"Arizona","Male","5-14 years","upr","70.4314454772788"
"Arizona","Male","15-24 years","upr","60.5342200600255"
"Arizona","Male","25-34 years","upr","51.4685324652937"
"Arizona","Male","35-44 years","upr","42.7195003493962"
"Arizona","Male","45-54 years","upr","34.1301757374445"
"Arizona","Male","55-64 years","upr","26.0507017891783"
"Arizona","Male","65-74 years","upr","19.1303035700905"
"Arizona","Male","75-84 years","upr","12.6689084395268"
"Arizona","Male","85+ years","upr","7.87711158696169"
"Arizona","Total","< 1 year","fit","77.4904729185488"
"Arizona","Total","1-4 years","fit","76.8866921337999"
"Arizona","Total","5-14 years","fit","72.98082502805"
"Arizona","Total","15-24 years","fit","63.0834444107291"
"Arizona","Total","25-34 years","fit","53.7521357352283"
"Arizona","Total","35-44 years","fit","44.7320611093456"
"Arizona","Total","45-54 years","fit","35.8723053505316"
"Arizona","Total","55-64 years","fit","27.5002911888535"
"Arizona","Total","65-74 years","fit","20.0646306634475"
"Arizona","Total","75-84 years","fit","13.0957403438386"
"Arizona","Total","85+ years","fit","7.74683480453972"
"Arizona","Total","< 1 year","lwr","76.9689455024196"
"Arizona","Total","1-4 years","lwr","76.4140971667593"
"Arizona","Total","5-14 years","lwr","72.5161561990615"
"Arizona","Total","15-24 years","lwr","62.6206994369478"
"Arizona","Total","25-34 years","lwr","53.2999544289231"
"Arizona","Total","35-44 years","lwr","44.3034000675063"
"Arizona","Total","45-54 years","lwr","35.4646578597857"
"Arizona","Total","55-64 years","lwr","27.135623175361"
"Arizona","Total","65-74 years","lwr","19.7436832112991"
"Arizona","Total","75-84 years","lwr","12.842732798876"
"Arizona","Total","85+ years","lwr","7.54249684741488"
"Arizona","Total","< 1 year","upr","77.986908890002"
"Arizona","Total","1-4 years","upr","77.3444065528579"
"Arizona","Total","5-14 years","upr","73.4318212006689"
"Arizona","Total","15-24 years","upr","63.5325916042949"
"Arizona","Total","25-34 years","upr","54.1910499745924"
"Arizona","Total","35-44 years","upr","45.1486765279461"
"Arizona","Total","45-54 years","upr","36.2687434647603"
"Arizona","Total","55-64 years","upr","27.8563745602939"
"Arizona","Total","65-74 years","upr","20.3788170219036"
"Arizona","Total","75-84 years","upr","13.3462522378452"
"Arizona","Total","85+ years","upr","7.95117276166456"
"Arkansas","Female","< 1 year","fit","77.734669395717"
"Arkansas","Female","1-4 years","fit","77.1749614029873"
"Arkansas","Female","5-14 years","fit","73.2661219721349"
"Arkansas","Female","15-24 years","fit","63.3506118831155"
"Arkansas","Female","25-34 years","fit","53.6794871303967"
"Arkansas","Female","35-44 years","fit","44.2186804298539"
"Arkansas","Female","45-54 years","fit","35.1839248495273"
"Arkansas","Female","55-64 years","fit","26.7691566867902"
"Arkansas","Female","65-74 years","fit","19.1845376293455"
"Arkansas","Female","75-84 years","fit","12.2671397040109"
"Arkansas","Female","85+ years","fit","6.9796455518512"
"Arkansas","Female","< 1 year","lwr","77.3305275952643"
"Arkansas","Female","1-4 years","lwr","76.7955731334123"
"Arkansas","Female","5-14 years","lwr","72.8902080346153"
"Arkansas","Female","15-24 years","lwr","62.9767263214187"
"Arkansas","Female","25-34 years","lwr","53.3101229550393"
"Arkansas","Female","35-44 years","lwr","43.8572718394518"
"Arkansas","Female","45-54 years","lwr","34.8391933725887"
"Arkansas","Female","55-64 years","lwr","26.4597107011602"
"Arkansas","Female","65-74 years","lwr","18.8899539813257"
"Arkansas","Female","75-84 years","lwr","12.0364236252819"
"Arkansas","Female","85+ years","lwr","6.72960168450605"
"Arkansas","Female","< 1 year","upr","78.1282448595863"
"Arkansas","Female","1-4 years","upr","77.5464484650804"
"Arkansas","Female","5-14 years","upr","73.6344098417422"
"Arkansas","Female","15-24 years","upr","63.7169775065392"
"Arkansas","Female","25-34 years","upr","54.0414891341323"
"Arkansas","Female","35-44 years","upr","44.5730108978409"
"Arkansas","Female","45-54 years","upr","35.5222551055981"
"Arkansas","Female","55-64 years","upr","27.074603665971"
"Arkansas","Female","65-74 years","upr","19.4753310255532"
"Arkansas","Female","75-84 years","upr","12.4982755389113"
"Arkansas","Female","85+ years","upr","7.22951394981576"
"Arkansas","Male","< 1 year","fit","72.1228633621842"
"Arkansas","Male","1-4 years","fit","71.6607494967408"
"Arkansas","Male","5-14 years","fit","67.7585742750995"
"Arkansas","Male","15-24 years","fit","57.8725854483785"
"Arkansas","Male","25-34 years","fit","48.6242563205372"
"Arkansas","Male","35-44 years","fit","39.6864305420772"
"Arkansas","Male","45-54 years","fit","31.0858147334226"
"Arkansas","Male","55-64 years","fit","23.1133699055891"
"Arkansas","Male","65-74 years","fit","16.5909926999059"
"Arkansas","Male","75-84 years","fit","10.8233139659797"
"Arkansas","Male","85+ years","fit","6.6215034965035"
"Arkansas","Male","< 1 year","lwr","71.7035104559089"
"Arkansas","Male","1-4 years","lwr","71.2718176048217"
"Arkansas","Male","5-14 years","lwr","67.3726098787538"
"Arkansas","Male","15-24 years","lwr","57.4896915528647"
"Arkansas","Male","25-34 years","lwr","48.2479627394678"
"Arkansas","Male","35-44 years","lwr","39.3190664231756"
"Arkansas","Male","45-54 years","lwr","30.7414978394279"
"Arkansas","Male","55-64 years","lwr","22.807124224762"
"Arkansas","Male","65-74 years","lwr","16.3216036004384"
"Arkansas","Male","75-84 years","lwr","10.6368529276997"
"Arkansas","Male","85+ years","lwr","6.379662004662"
"Arkansas","Male","< 1 year","upr","72.5295601478914"
"Arkansas","Male","1-4 years","upr","72.0404101352805"
"Arkansas","Male","5-14 years","upr","68.1354607359869"
"Arkansas","Male","15-24 years","upr","58.246581312861"
"Arkansas","Male","25-34 years","upr","48.9917848241319"
"Arkansas","Male","35-44 years","upr","40.0451217040239"
"Arkansas","Male","45-54 years","upr","31.4223134560695"
"Arkansas","Male","55-64 years","upr","23.4145581582384"
"Arkansas","Male","65-74 years","upr","16.8563173584144"
"Arkansas","Male","75-84 years","upr","11.0109675571104"
"Arkansas","Male","85+ years","upr","6.86363636363636"
"Arkansas","Total","< 1 year","fit","74.8855370645847"
"Arkansas","Total","1-4 years","fit","74.3784763342558"
"Arkansas","Total","5-14 years","fit","70.4733829744005"
"Arkansas","Total","15-24 years","fit","60.5738362899507"
"Arkansas","Total","25-34 years","fit","51.1301854379243"
"Arkansas","Total","35-44 years","fit","41.9477628085901"
"Arkansas","Total","45-54 years","fit","33.1443779982325"
"Arkansas","Total","55-64 years","fit","24.9692205243174"
"Arkansas","Total","65-74 years","fit","17.9456200069867"
"Arkansas","Total","75-84 years","fit","11.6129129008745"
"Arkansas","Total","85+ years","fit","6.84503340269412"
"Arkansas","Total","< 1 year","lwr","74.4755386092864"
"Arkansas","Total","1-4 years","lwr","73.9956151257997"
"Arkansas","Total","5-14 years","lwr","70.0937235386889"
"Arkansas","Total","15-24 years","lwr","60.1967358947749"
"Arkansas","Total","25-34 years","lwr","50.7590614155989"
"Arkansas","Total","35-44 years","lwr","41.5858242220946"
"Arkansas","Total","45-54 years","lwr","32.8024043338635"
"Arkansas","Total","55-64 years","lwr","24.6647986142255"
"Arkansas","Total","65-74 years","lwr","17.6653239366705"
"Arkansas","Total","75-84 years","lwr","11.4069747369477"
"Arkansas","Total","85+ years","lwr","6.60617676048625"
"Arkansas","Total","< 1 year","upr","75.2841234499649"
"Arkansas","Total","1-4 years","upr","74.7528003559397"
"Arkansas","Total","5-14 years","upr","70.8447315377753"
"Arkansas","Total","15-24 years","upr","60.9427670583491"
"Arkansas","Total","25-34 years","upr","51.4932837737448"
"Arkansas","Total","35-44 years","upr","42.3018778877731"
"Arkansas","Total","45-54 years","upr","33.479294992167"
"Arkansas","Total","55-64 years","upr","25.2691688438315"
"Arkansas","Total","65-74 years","upr","18.2218877824055"
"Arkansas","Total","75-84 years","upr","11.8195545258967"
"Arkansas","Total","85+ years","upr","7.08378052787208"
"California","Female","< 1 year","fit","83.5230101130763"
"California","Female","1-4 years","fit","82.7968715966537"
"California","Female","5-14 years","fit","78.8370183264022"
"California","Female","15-24 years","fit","68.9011693995494"
"California","Female","25-34 years","fit","59.1445581130439"
"California","Female","35-44 years","fit","49.4837438592992"
"California","Female","45-54 years","fit","40.0027413827646"
"California","Female","55-64 years","fit","30.9210146944718"
"California","Female","65-74 years","fit","22.4361628647106"
"California","Female","75-84 years","fit","14.5617762784068"
"California","Female","85+ years","fit","8.50828729281768"
"California","Female","< 1 year","lwr","83.0155204206637"
"California","Female","1-4 years","lwr","82.3176233802817"
"California","Female","5-14 years","lwr","78.3622067703826"
"California","Female","15-24 years","lwr","68.4283274927729"
"California","Female","25-34 years","lwr","58.6821661916999"
"California","Female","35-44 years","lwr","49.0282948074582"
